@relation pacman-weka.filters.unsupervised.attribute.Remove-R49

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute g1_west numeric
@attribute g1_stop numeric
@attribute g1_east numeric
@attribute g1_north numeric
@attribute g1_south numeric
@attribute g2_west numeric
@attribute g2_stop numeric
@attribute g2_east numeric
@attribute g2_north numeric
@attribute g2_south numeric
@attribute g3_west numeric
@attribute g3_stop numeric
@attribute g3_east numeric
@attribute g3_north numeric
@attribute g3_south numeric
@attribute g4_west numeric
@attribute g4_stop numeric
@attribute g4_east numeric
@attribute g4_north numeric
@attribute g4_south numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
6,8,1,0,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,10,13,24,0,-1,173,South,South
6,7,1,0,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,9,12,25,0,-1,172,South,South
6,6,1,1,1,0,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,8,11,26,0,-1,171,South,East
7,6,1,1,0,0,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,7,10,25,0,-1,170,East,East
8,6,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,6,9,24,0,-1,169,East,East
9,6,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,5,8,23,0,-1,168,East,South
9,5,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,4,9,24,0,-1,167,South,South
9,4,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,3,10,25,0,-1,166,South,East
10,4,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,2,9,24,0,-1,165,East,East
11,4,1,0,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,1,8,23,0,-1,164,East,South
11,3,1,0,1,0,4,0,0,0,1,1,1,1,11,3,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,9,24,0,-1,363,South,North
11,4,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,8,23,0,-1,362,North,North
11,5,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,7,22,0,-1,361,North,North
11,6,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,6,21,0,-1,360,North,North
11,7,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,7,20,0,-1,359,North,North
11,8,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,8,19,0,-1,358,North,North
11,9,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,9,18,0,-1,357,North,North
11,10,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,10,17,0,-1,356,North,North
11,11,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,11,16,0,-1,355,North,North
11,12,1,1,0,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,12,15,0,-1,354,North,East
