@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
6,10,0,1,1,1,136,3,8596,South,East
7,10,1,1,0,0,136,2,8595,East,East
8,10,1,0,1,1,136,1,8594,East,South
8,9,0,1,1,1,135,1,8693,South,South
8,8,0,0,1,1,134,1,8792,South,South
8,7,1,1,1,1,133,1,8891,South,South
8,6,0,0,1,1,132,1,8990,South,South
8,5,0,1,1,1,131,1,9089,South,South
8,4,0,1,1,1,130,1,9188,South,South
8,3,1,1,1,0,129,1,9287,South,West
7,3,1,1,0,0,128,1,9386,West,West
6,3,1,1,0,0,127,1,9485,West,West
5,3,1,1,0,0,126,1,9584,West,West
4,3,1,1,0,0,125,2,9683,West,West
3,3,1,1,0,0,125,1,9682,West,West
12,10,1,1,0,0,0,-1,-2,Stop,East
13,10,1,1,0,1,0,-1,-3,East,East
14,10,1,1,0,1,0,-1,-4,East,East
15,10,1,1,1,1,0,-1,-5,East,North
15,11,0,1,1,1,0,-1,-6,North,North
15,12,0,1,1,1,0,-1,-7,North,North
15,13,0,1,1,1,0,-1,-8,North,North
15,14,1,1,0,1,0,-1,-9,North,West
14,14,1,1,0,0,0,-1,-10,West,West
13,14,1,1,0,0,0,-1,-11,West,West
12,14,1,1,0,0,0,-1,-12,West,West
11,14,1,1,0,0,0,-1,-13,West,West
10,14,1,1,0,1,0,-1,-14,West,South
10,13,1,0,1,1,0,-1,-15,South,South
10,12,1,1,1,0,0,-1,-16,South,East
11,12,1,1,0,0,0,-1,-17,East,East
12,12,1,1,0,0,0,-1,182,East,East
13,12,1,0,0,0,0,-1,181,East,West
12,12,1,1,0,0,0,-1,180,West,West
11,12,1,1,0,0,0,-1,179,West,West
10,12,1,1,1,0,0,-1,178,West,West
9,12,1,1,1,0,0,-1,177,West,West
8,12,1,1,1,0,0,-1,176,West,West
7,12,1,1,0,0,0,-1,175,West,East
8,12,1,1,1,0,0,-1,374,East,East
9,12,1,1,1,0,0,-1,373,East,North
9,13,1,1,1,1,0,-1,372,North,North
9,14,1,1,0,1,0,-1,371,North,West
8,14,1,1,0,1,0,-1,370,West,West
7,14,1,1,0,0,0,-1,369,West,West
6,14,1,1,0,0,0,-1,368,West,West
5,14,1,1,0,0,0,-1,367,West,West
4,14,1,1,0,0,0,-1,366,West,West
3,14,1,1,0,1,0,-1,365,West,South
3,13,1,0,1,1,0,-1,364,South,South
3,12,1,0,1,1,0,-1,363,South,South
3,11,1,0,1,1,0,-1,362,South,South
3,10,1,1,1,1,0,-1,361,South,South
3,9,1,1,1,1,0,-1,360,South,South
3,8,1,1,1,1,0,-1,359,South,South
3,7,1,1,1,1,0,-1,358,South,South
3,6,1,1,1,1,0,-1,357,South,South
3,5,1,1,1,1,0,-1,556,South,South
3,4,1,1,1,1,0,-1,555,South,East
4,4,1,1,1,1,0,-1,554,East,East
5,4,1,1,1,1,0,-1,553,East,East
6,4,1,1,1,1,0,-1,552,East,East
7,4,1,1,1,1,0,-1,551,East,South
7,3,1,1,1,0,0,-1,550,South,East
8,3,1,1,1,0,0,-1,549,East,East
9,3,1,1,0,0,0,-1,548,East,East
10,3,1,1,1,0,0,-1,547,East,East
11,3,1,1,1,0,0,-1,546,East,North
11,4,1,1,1,1,0,-1,545,North,East
12,4,1,1,1,1,0,-1,544,East,East
13,4,1,1,1,1,0,-1,543,East,South
13,3,1,1,1,0,0,-1,542,South,East
9,1,1,1,0,0,68,1,-2,Stop,East
10,1,1,1,0,0,67,1,97,East,East
11,1,1,1,1,0,66,1,196,East,North
11,2,0,0,1,1,66,2,195,North,North
11,3,1,0,0,1,66,2,194,North,West
10,3,1,1,0,0,66,3,193,West,West
9,3,1,1,1,0,66,3,192,West,North
9,4,0,0,1,1,66,2,191,North,North
9,5,1,1,1,1,66,1,190,North,East
10,5,1,1,1,0,66,1,589,East,North
10,6,1,0,1,1,65,1,888,North,North
10,7,1,1,0,1,64,1,987,North,East
11,7,1,1,0,0,63,1,1086,East,East
12,7,1,1,0,0,62,1,1185,East,East
13,7,1,0,0,1,61,1,1284,East,South
13,6,0,0,1,1,60,1,1383,South,South
13,5,0,1,1,1,59,1,1482,South,East
14,5,1,1,0,0,58,1,1581,East,East
15,5,1,1,1,0,57,1,1680,East,East
16,5,1,1,0,1,56,1,1779,East,East
17,5,1,1,0,0,55,1,1878,East,East
