@RELATION pacman

@ATTRIBUTE pacmanx NUMERIC
@ATTRIBUTE pacmany NUMERIC
@ATTRIBUTE legalW NUMERIC
@ATTRIBUTE legalE NUMERIC
@ATTRIBUTE legalN NUMERIC
@ATTRIBUTE legalS NUMERIC
@ATTRIBUTE numghost NUMERIC
@ATTRIBUTE alivePacman NUMERIC
@ATTRIBUTE alive_Ghost1 NUMERIC
@ATTRIBUTE alive_Ghost2 NUMERIC
@ATTRIBUTE alive_Ghost3 NUMERIC
@ATTRIBUTE alive_Ghost4 NUMERIC
@ATTRIBUTE ghost1x NUMERIC
@ATTRIBUTE ghost1y NUMERIC
@ATTRIBUTE ghost2x NUMERIC
@ATTRIBUTE ghost2y NUMERIC
@ATTRIBUTE ghost3x NUMERIC
@ATTRIBUTE ghost3y NUMERIC
@ATTRIBUTE ghost4x NUMERIC
@ATTRIBUTE ghost4y NUMERIC
@ATTRIBUTE g1_west NUMERIC
@ATTRIBUTE g1_stop NUMERIC
@ATTRIBUTE g1_east NUMERIC
@ATTRIBUTE g1_north NUMERIC
@ATTRIBUTE g1_south NUMERIC
@ATTRIBUTE g2_west NUMERIC
@ATTRIBUTE g2_stop NUMERIC
@ATTRIBUTE g2_east NUMERIC
@ATTRIBUTE g2_north NUMERIC
@ATTRIBUTE g2_south NUMERIC
@ATTRIBUTE g3_west NUMERIC
@ATTRIBUTE g3_stop NUMERIC
@ATTRIBUTE g3_east NUMERIC
@ATTRIBUTE g3_north NUMERIC
@ATTRIBUTE g3_south NUMERIC
@ATTRIBUTE g4_west NUMERIC
@ATTRIBUTE g4_stop NUMERIC
@ATTRIBUTE g4_east NUMERIC
@ATTRIBUTE g4_north NUMERIC
@ATTRIBUTE g4_south NUMERIC
@ATTRIBUTE ghost1dist NUMERIC
@ATTRIBUTE ghost2dist NUMERIC
@ATTRIBUTE ghost3dist NUMERIC
@ATTRIBUTE ghost4dist NUMERIC
@ATTRIBUTE pac_dots NUMERIC
@ATTRIBUTE distance_dots NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE class {Stop, East, West, North, South}
@ATTRIBUTE next_score NUMERIC


@DATA
6, 9, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 8, 4, 3, 1, 5, 1, 13, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 7, -1, -1, 12, 2, 7, 385, East, 384
6, 8, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 8, 3, 3, 1, 5, 1, 14, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 7, -1, -1, 12, 2, 6, 384, South, 383
7, 8, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 7, 3, 3, 1, 5, 1, 14, 5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 5, -1, -1, 10, 2, 5, 383, East, 382
7, 7, 1, 1, 1, 0, 4, 0, 1, 0, 0, 1, 7, 3, 3, 1, 5, 1, 14, 5, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 4, -1, -1, 9, 2, 4, 382, South, 381
8, 7, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 7, 4, 3, 1, 5, 1, 13, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 4, -1, -1, 7, 2, 3, 381, East, 380
8, 6, 0, 1, 1, 1, 4, 0, 1, 0, 0, 1, 7, 4, 3, 1, 5, 1, 13, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 3, -1, -1, 6, 2, 2, 380, South, 379
8, 5, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 6, 4, 3, 1, 5, 1, 13, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, -1, -1, 6, 2, 3, 379, South, 378
7, 5, 1, 1, 0, 1, 4, 0, 1, 0, 0, 1, 7, 4, 3, 1, 5, 1, 13, 5, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, -1, -1, 6, 2, 4, 378, West, 377
7, 4, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 7, 3, 3, 1, 5, 1, 12, 5, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, -1, -1, 6, 2, 5, 377, South, 576
7, 5, 1, 1, 0, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 12, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 5, 2, 4, 576, North, 575
8, 5, 1, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 13, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 5, 2, 3, 575, East, 574
9, 5, 1, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 12, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, -1, -1, -1, 3, 2, 2, 574, East, 573
10, 5, 1, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 13, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 3, 2, 1, 573, East, 572
11, 5, 1, 1, 0, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 14, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 3, 2, 2, 572, East, 571
12, 5, 1, 1, 0, 0, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 14, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 2, 2, 3, 571, East, 570
13, 5, 1, 1, 0, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 15, 5, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, -1, -1, 2, 2, 4, 570, East, 569
14, 5, 1, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 15, 4, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 2, 2, 5, 569, East, 568
14, 4, 1, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 15, 4, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, 2, 6, 568, South, 567
15, 4, 1, 1, 1, 1, 4, 0, 0, 0, 0, 1, 1, 1, 3, 1, 5, 1, 15, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, -1, -1, -1, 1, 2, 7, 567, East, 99999999
1, 10, 0, 0, 1, 1, 4, 0, 1, 1, 1, 1, 6, 5, 6, 9, 8, 11, 14, 6, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 10, 6, 8, 17, 2, 13, -1, South, -2
1, 9, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 7, 5, 6, 9, 9, 11, 14, 5, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 10, 5, 10, 17, 2, 12, -2, South, -3
2, 9, 1, 1, 0, 1, 4, 0, 1, 1, 1, 1, 7, 5, 6, 10, 10, 11, 13, 5, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 9, 5, 10, 15, 2, 11, -3, East, -4
3, 9, 1, 1, 0, 1, 4, 0, 1, 1, 1, 1, 6, 5, 6, 9, 10, 10, 12, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 7, 3, 8, 13, 2, 10, -4, East, -5
4, 9, 1, 1, 0, 1, 4, 0, 1, 1, 1, 1, 5, 5, 6, 10, 11, 10, 11, 5, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5, 3, 8, 11, 2, 9, -5, East, -6
5, 9, 1, 1, 1, 1, 4, 0, 1, 1, 1, 1, 5, 4, 6, 10, 11, 10, 10, 5, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 5, 2, 7, 9, 2, 8, -6, East, 193
5, 10, 0, 1, 1, 1, 4, 0, 1, 0, 1, 1, 5, 5, 5, 10, 11, 9, 9, 5, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 5, -1, 7, 9, 2, 9, 193, North, 192
5, 9, 1, 1, 1, 1, 4, 0, 1, 0, 1, 1, 4, 5, 3, 1, 11, 9, 9, 6, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, -1, 6, 7, 2, 8, 192, South, 191
6, 9, 1, 1, 1, 1, 4, 0, 1, 0, 1, 1, 3, 5, 3, 1, 10, 9, 9, 6, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, -1, 4, 6, 2, 7, 191, East, 190
7, 9, 1, 1, 0, 1, 4, 0, 1, 0, 1, 1, 3, 5, 3, 1, 10, 9, 10, 6, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 8, -1, 3, 6, 2, 6, 190, East, 189
8, 9, 1, 1, 0, 1, 4, 0, 1, 0, 1, 1, 4, 5, 3, 1, 10, 10, 9, 6, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 8, -1, 3, 4, 2, 5, 189, East, 188
9, 9, 1, 1, 0, 1, 4, 0, 1, 0, 1, 1, 5, 5, 3, 1, 10, 10, 9, 7, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 8, -1, 2, 2, 2, 4, 188, East, 187
10, 9, 1, 1, 1, 1, 4, 0, 1, 0, 1, 1, 5, 4, 3, 1, 10, 11, 9, 6, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 10, -1, 2, 4, 2, 3, 187, East, 186
11, 9, 1, 1, 1, 0, 4, 0, 1, 0, 1, 1, 5, 3, 3, 1, 11, 11, 10, 6, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 12, -1, 2, 4, 2, 4, 186, East, 185
11, 10, 1, 0, 1, 1, 4, 0, 1, 0, 1, 1, 5, 3, 3, 1, 11, 11, 10, 7, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 13, -1, 1, 4, 2, 3, 185, North, 184
11, 11, 1, 1, 0, 1, 4, 0, 1, 0, 1, 1, 5, 3, 3, 1, 10, 11, 9, 7, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 14, -1, 1, 6, 2, 4, 184, North, 383
11, 10, 1, 0, 1, 1, 4, 0, 1, 0, 0, 1, 5, 3, 3, 1, 5, 1, 9, 7, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 13, -1, -1, 5, 2, 3, 383, South, 382
11, 9, 1, 1, 1, 0, 4, 0, 1, 0, 0, 1, 4, 3, 3, 1, 5, 1, 8, 7, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 13, -1, -1, 5, 2, 4, 382, South, 381
10, 9, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 4, 3, 3, 1, 5, 1, 8, 8, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 12, -1, -1, 3, 2, 3, 381, West, 380
10, 8, 1, 0, 1, 1, 4, 0, 1, 0, 0, 1, 4, 3, 3, 1, 5, 1, 8, 9, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 11, -1, -1, 3, 2, 2, 380, South, 379
9, 8, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 4, 4, 3, 1, 5, 1, 7, 9, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 9, -1, -1, 3, 2, 3, 379, West, 378
8, 8, 1, 1, 1, 1, 4, 0, 1, 0, 0, 1, 5, 4, 3, 1, 5, 1, 7, 9, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 7, -1, -1, 2, 2, 4, 378, West, 377
8, 9, 1, 1, 0, 1, 4, 0, 1, 0, 0, 1, 5, 4, 3, 1, 5, 1, 7, 8, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 8, -1, -1, 2, 2, 5, 377, North, 576
8, 8, 1, 1, 1, 1, 4, 0, 1, 0, 0, 0, 4, 4, 3, 1, 5, 1, 8, 8, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, -1, -1, -1, 2, 4, 576, South, 575
8, 7, 1, 1, 1, 1, 4, 0, 1, 0, 0, 0, 4, 5, 3, 1, 5, 1, 7, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 6, -1, -1, -1, 2, 3, 575, South, 574
8, 6, 0, 1, 1, 1, 4, 0, 1, 0, 0, 0, 4, 5, 3, 1, 5, 1, 7, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 5, -1, -1, -1, 2, 2, 574, South, 573
8, 5, 1, 1, 1, 1, 4, 0, 1, 0, 0, 0, 4, 4, 3, 1, 5, 1, 7, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 5, -1, -1, -1, 2, 3, 573, South, 572
7, 5, 1, 1, 0, 1, 4, 0, 1, 0, 0, 0, 4, 5, 3, 1, 5, 1, 7, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 3, -1, -1, -1, 2, 4, 572, West, 571
6, 5, 1, 1, 0, 1, 4, 0, 1, 0, 0, 0, 5, 5, 3, 1, 5, 1, 7, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, -1, -1, -1, 2, 5, 571, West, 570
6, 4, 1, 1, 1, 1, 4, 0, 1, 0, 0, 0, 5, 4, 3, 1, 5, 1, 7, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, -1, -1, -1, 2, 6, 570, South, 569
