@relation pacman-weka.filters.unsupervised.attribute.Remove-R21-40-weka.filters.unsupervised.attribute.Remove-R29

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
12,12,1,1,0,0,4,0,0,0,0,1,1,1,3,1,5,1,13,12,-1,-1,-1,1,0,-1,550,East,East
12,12,1,1,1,1,4,0,1,1,1,0,2,4,5,8,16,4,7,1,18,11,12,-1,1,9,184,South,South
7,3,1,1,0,0,4,0,0,1,1,1,1,1,10,17,19,17,27,3,-1,17,26,20,195,1,2374,East,East
4,9,1,1,0,1,4,0,0,1,0,0,1,1,4,7,5,1,7,1,-1,2,-1,-1,1,14,557,West,West
14,12,1,1,1,1,4,0,1,1,1,1,1,5,6,10,13,5,14,13,20,10,8,1,1,7,-10,North,North
29,3,1,0,1,1,4,0,0,1,1,1,1,1,8,17,22,17,28,1,-1,35,21,-1,173,1,4544,South,South
10,5,1,1,1,1,4,0,1,1,0,0,7,5,5,8,5,1,7,1,3,8,-1,-1,1,12,367,West,West
23,9,1,1,0,0,4,0,0,1,1,0,1,1,4,17,25,17,7,1,-1,27,10,-1,167,1,5324,East,East
11,7,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,7,20,0,-1,354,North,North
27,7,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,30,32,15,-1,195,3,2364,West,West
9,6,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,5,8,23,0,-1,167,East,East
9,3,1,1,0,0,4,0,1,1,0,1,5,6,5,12,5,1,13,12,7,13,-1,13,0,-1,184,West,West
9,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,22,4,-1,-1,148,1,7210,West,West
2,7,1,1,0,0,4,0,1,1,1,1,1,3,11,16,22,17,25,3,5,18,30,27,204,1,1285,West,West
1,15,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,10,22,25,26,0,-1,-8,South,South
14,6,1,1,1,1,4,0,0,0,1,1,1,1,3,1,18,6,20,15,-1,-1,4,15,0,-1,352,East,East
11,16,0,0,1,1,4,0,1,1,0,0,1,3,5,17,5,1,7,1,23,7,-1,-1,151,1,6913,North,North
19,13,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,6,0,-1,518,East,East
29,5,0,0,1,1,4,0,0,1,1,1,1,1,8,17,24,17,27,1,-1,33,17,-1,175,1,4346,South,South
7,5,1,1,0,0,4,0,1,1,1,1,5,5,10,5,10,5,15,6,2,3,3,9,67,1,89,West,West
4,4,1,1,1,1,4,0,0,1,1,1,1,1,9,3,15,3,22,14,-1,6,12,28,0,-1,178,South,South
4,9,1,1,1,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,4,-1,12,0,-1,373,North,North
12,11,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,19,13,-1,-1,157,1,6319,West,West
14,5,1,1,1,1,4,0,1,1,0,0,4,5,4,7,5,1,7,1,10,12,-1,-1,1,8,371,West,West
12,12,1,1,1,1,4,0,1,1,1,0,5,6,5,12,13,6,7,1,13,7,7,-1,1,9,194,West,West
18,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,21,23,14,10,214,1,295,East,East
3,13,1,0,1,1,4,0,1,0,0,0,5,8,3,1,5,1,7,1,7,-1,-1,-1,0,-1,561,South,South
1,6,0,1,1,1,4,0,1,1,1,1,3,5,8,3,16,4,23,13,3,10,17,29,0,-1,-15,South,South
24,17,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,37,19,2,-1,174,1,4437,West,West
8,6,1,1,1,1,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,6,9,24,0,-1,168,East,East
1,11,0,0,1,1,4,0,1,1,1,1,3,6,9,4,17,6,25,14,7,15,21,27,0,-1,-10,South,South
29,6,0,0,1,1,4,0,1,1,1,0,1,3,5,17,22,17,7,1,31,35,18,-1,195,4,2367,North,North
24,17,1,1,0,0,4,0,0,1,0,0,1,1,5,17,5,1,7,1,-1,19,-1,-1,149,1,7305,West,West
5,3,1,1,0,0,4,0,1,0,0,0,1,3,3,1,5,1,7,1,4,-1,-1,-1,131,1,9074,West,West
26,3,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,25,35,18,2,196,1,2077,West,West
12,5,1,1,1,1,4,0,1,1,0,0,6,5,4,7,5,1,7,1,6,10,-1,-1,1,10,369,West,West
23,7,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,26,28,11,-1,195,2,2360,West,West
16,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,29,11,-1,-1,167,1,5329,West,West
7,3,1,1,0,0,4,0,1,0,0,0,1,3,3,1,5,1,7,1,6,-1,-1,-1,133,1,8876,West,West
21,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,34,16,-1,-1,172,1,4834,West,West
6,8,1,1,0,0,4,0,1,0,0,0,4,10,3,1,5,1,7,1,4,-1,-1,-1,0,-1,551,West,West
23,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,26,28,11,5,209,1,790,East,East
11,10,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,10,17,0,-1,351,North,North
10,4,1,1,1,1,4,0,0,0,1,1,1,1,10,4,14,3,24,16,-1,-1,5,26,0,-1,370,North,North
17,17,1,1,0,0,4,0,0,1,0,0,1,1,8,17,5,1,7,1,-1,9,-1,-1,143,1,7898,West,West
1,13,0,0,1,1,4,0,1,1,1,1,4,7,9,3,17,6,25,15,9,18,23,26,0,-1,-8,South,South
14,6,1,1,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,3,18,0,-1,338,East,East
2,3,1,1,0,0,4,0,1,0,0,0,1,3,3,1,5,1,7,1,1,-1,-1,-1,129,2,9271,West,West
11,6,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,6,21,0,-1,355,North,North
13,7,0,1,1,1,4,0,0,0,1,1,1,1,3,1,19,6,20,15,-1,-1,7,15,0,-1,354,South,South
6,5,1,1,1,1,4,0,0,1,0,0,6,5,4,7,5,1,7,1,-1,4,-1,-1,1,16,563,West,West
6,7,1,1,0,0,4,0,1,1,1,1,2,3,9,17,21,17,25,3,8,13,25,23,208,1,889,West,West
12,7,1,1,0,0,4,0,0,1,1,1,1,1,9,17,21,17,26,3,-1,13,19,18,191,2,2765,East,East
29,2,0,0,1,1,4,0,0,1,1,0,1,1,5,17,22,17,7,1,-1,39,22,-1,170,2,5039,North,North
10,3,1,1,1,0,4,0,1,1,0,1,5,6,5,12,5,1,13,12,8,14,-1,12,0,-1,185,West,West
4,14,1,1,0,0,4,0,1,0,0,0,3,8,3,1,5,1,7,1,7,-1,-1,-1,0,-1,563,West,West
11,7,1,1,0,0,4,0,0,1,0,1,1,1,10,6,5,1,15,6,-1,2,-1,5,62,1,981,East,East
3,7,1,1,0,0,4,0,1,1,1,1,2,3,11,17,22,17,24,3,5,18,29,25,205,1,1186,West,West
2,3,1,1,0,0,4,0,1,1,1,1,3,3,11,17,22,17,27,3,1,23,34,25,199,2,1779,East,East
13,12,0,0,1,1,4,0,0,1,0,0,1,1,7,17,5,1,7,1,-1,11,-1,-1,134,1,8789,South,South
8,7,1,1,1,1,4,0,1,0,0,0,1,3,3,1,5,1,7,1,11,-1,-1,-1,138,1,8381,South,South
7,3,1,1,0,0,4,0,0,1,1,1,1,1,10,3,15,4,22,15,-1,3,9,27,0,-1,174,East,East
29,4,0,0,1,1,4,0,0,1,1,1,1,1,8,17,23,17,27,1,-1,34,19,-1,174,1,4445,South,South
24,10,0,1,1,1,4,0,1,1,1,0,1,3,5,17,22,17,7,1,30,26,9,-1,190,1,2854,North,North
14,9,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,0,-1,527,North,North
14,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,27,9,-1,-1,165,1,5527,West,West
6,7,1,1,1,1,4,0,1,0,1,0,5,6,3,1,13,6,7,1,2,-1,8,-1,1,14,381,South,South
6,8,1,1,1,1,4,0,1,0,1,0,5,6,3,1,13,6,7,1,3,-1,9,-1,1,13,382,South,South
21,7,1,1,0,1,4,0,1,1,1,1,1,3,5,17,22,17,24,3,24,26,11,7,211,1,592,East,East
20,14,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,16,-1,-1,-1,7,0,-1,518,North,North
14,7,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,0,-1,529,North,North
13,6,0,0,1,1,4,0,0,1,0,1,1,1,11,5,7,1,16,5,-1,3,-1,4,59,1,1278,South,South
8,5,1,1,0,0,4,0,0,1,1,1,1,1,10,5,11,5,17,7,-1,2,3,11,67,2,287,East,East
11,4,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,8,23,0,-1,357,North,North
6,12,1,1,0,0,4,0,0,0,0,1,1,1,3,1,5,1,13,12,-1,-1,-1,7,0,-1,556,East,East
20,7,1,1,0,0,4,0,0,1,1,1,1,1,11,17,23,17,29,1,-1,19,13,-1,186,1,3257,East,East
9,4,0,0,1,1,4,0,1,1,1,1,8,5,10,5,11,5,17,7,2,2,3,11,67,2,91,North,North
11,12,1,1,0,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,0,-1,348,North,North
8,2,0,0,1,1,4,0,1,1,1,1,8,5,10,6,10,5,16,7,3,6,5,13,67,2,95,North,North
11,12,1,1,0,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,12,15,0,-1,349,North,North
7,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,20,2,-1,-1,145,3,7504,West,West
22,7,1,1,1,0,4,0,0,1,1,1,1,1,10,17,24,17,29,1,-1,22,12,-1,184,1,3455,East,East
12,9,1,1,1,1,4,0,1,1,1,0,3,4,4,7,17,5,7,1,14,10,9,-1,1,6,181,South,South
22,8,0,0,1,1,4,0,1,1,1,0,1,3,5,17,22,17,7,1,26,26,9,-1,194,1,2458,North,North
15,5,1,1,1,0,4,0,0,1,0,1,1,2,9,4,5,1,18,5,17,7,-1,3,56,1,1575,East,East
3,3,1,1,0,0,4,0,1,1,1,1,4,3,11,16,21,17,26,3,1,21,32,23,199,1,1778,East,East
26,7,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,29,31,14,-1,195,3,2363,West,West
15,5,1,1,1,1,4,0,1,1,0,0,4,5,3,7,5,1,7,1,11,14,-1,-1,1,7,372,West,West
7,12,1,1,0,0,4,0,0,0,0,1,1,1,3,1,5,1,13,12,-1,-1,-1,6,0,-1,555,East,East
20,13,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,16,-1,-1,-1,8,0,-1,519,North,North
5,3,1,1,1,0,4,0,0,1,1,1,1,1,9,4,15,4,22,15,-1,5,11,29,0,-1,176,East,East
8,5,1,1,0,0,4,0,0,1,1,1,8,5,10,5,11,5,17,7,-1,2,3,11,67,2,289,West,West
11,16,0,0,1,1,4,0,0,1,0,0,1,1,10,17,5,1,7,1,-1,2,-1,-1,126,1,9581,North,North
4,7,1,0,1,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,6,-1,14,0,-1,375,North,North
27,17,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,40,22,5,-1,177,1,4140,West,West
8,5,1,1,0,0,4,0,0,1,1,1,1,1,10,5,10,5,15,5,-1,2,2,7,66,2,386,East,East
21,17,1,1,0,0,4,0,0,1,0,0,1,1,7,17,5,1,7,1,-1,14,-1,-1,147,1,7502,West,West
25,17,1,1,0,0,4,0,0,1,0,0,1,1,5,17,5,1,7,1,-1,20,-1,-1,150,1,7206,West,West
19,7,1,1,0,0,4,0,0,1,1,1,1,1,11,17,24,17,29,2,-1,18,15,15,187,1,3158,East,East
21,7,1,1,0,1,4,0,0,1,1,1,1,1,11,17,23,17,28,1,-1,20,12,-1,185,1,3356,East,East
15,6,1,1,0,0,4,0,0,0,1,1,1,1,3,1,18,5,20,14,-1,-1,4,13,0,-1,351,East,East
25,7,1,1,0,0,4,0,1,1,1,0,1,3,5,17,22,17,7,1,28,30,13,-1,195,3,2362,West,West
15,7,1,1,1,1,4,0,1,1,1,0,5,5,4,6,16,6,7,1,12,12,2,-1,1,5,176,East,East
11,9,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,9,18,0,-1,352,North,North
24,13,0,0,1,1,4,0,0,1,1,0,1,1,5,17,26,17,7,1,-1,23,6,-1,162,1,5819,North,North
17,7,1,1,0,0,4,0,0,1,0,0,1,2,9,3,3,1,8,1,21,12,-1,-1,52,1,2168,West,West
17,6,1,1,0,1,4,0,0,0,0,1,1,1,3,1,17,6,25,13,-1,-1,-1,15,0,-1,535,East,East
1,14,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,9,21,24,25,0,-1,-9,South,South
22,8,0,0,1,1,4,0,0,1,1,0,1,1,4,17,26,17,7,1,-1,27,13,-1,169,1,5126,North,North
4,7,1,1,0,0,4,0,1,1,1,1,2,3,11,17,23,17,25,3,6,17,29,25,206,1,1087,West,West
13,8,0,1,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,6,17,0,-1,341,South,South
29,16,0,0,1,1,4,0,1,1,1,0,1,3,5,17,22,17,7,1,41,25,8,-1,179,2,3943,North,North
15,6,1,1,0,0,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,17,0,-1,531,West,West
18,6,0,0,1,1,4,0,0,1,0,0,1,2,9,3,4,1,18,6,21,12,-1,-1,52,2,2171,North,North
29,5,0,0,1,1,4,0,1,1,1,0,1,3,5,17,22,17,7,1,30,36,19,-1,195,3,2368,North,North
13,2,0,0,1,1,4,0,0,1,0,0,1,4,9,5,3,1,6,2,14,7,-1,7,46,1,2759,South,South
11,7,1,1,0,0,4,0,0,1,1,1,1,1,9,17,20,17,25,3,-1,12,19,18,191,2,2766,East,East
21,16,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,0,-1,515,East,East
19,12,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,24,16,-1,-1,-1,9,0,-1,521,East,East
18,17,1,1,0,0,4,0,0,1,0,0,1,1,9,17,5,1,7,1,-1,9,-1,-1,144,1,7799,West,West
11,12,0,0,1,1,4,0,1,0,0,0,1,3,3,1,5,1,7,1,19,-1,-1,-1,145,2,7689,South,South
1,8,0,0,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,5,15,18,29,0,-1,-15,South,South
28,17,1,1,0,0,4,0,0,1,1,0,1,1,4,17,24,17,7,1,-1,24,4,-1,153,1,6709,West,West
8,4,0,1,1,1,4,0,0,1,1,1,1,1,10,17,20,17,26,3,-1,15,25,19,193,1,2572,North,North
27,7,1,1,0,0,4,0,0,1,1,0,1,1,5,17,24,17,7,1,-1,32,13,-1,170,3,5032,West,West
1,12,0,1,1,1,4,0,1,1,1,1,5,9,11,3,17,6,25,13,7,19,22,25,0,-1,-11,South,South
5,6,1,1,0,1,4,0,0,1,0,1,5,6,5,12,5,1,13,12,-1,6,-1,14,0,-1,377,West,West
11,11,1,0,1,1,4,0,0,0,1,1,1,1,3,1,17,6,25,13,-1,-1,11,16,0,-1,350,North,North
7,6,1,1,0,0,4,0,0,1,1,1,1,1,11,3,17,6,25,13,-1,7,10,25,0,-1,169,East,East
13,7,1,1,0,0,4,0,0,1,1,1,1,1,9,17,22,17,26,3,-1,14,19,17,191,2,2764,East,East
4,8,1,1,1,1,4,0,0,1,0,0,1,1,4,7,5,1,7,1,-1,1,-1,-1,1,15,554,East,East
