@relation pacman-weka.filters.unsupervised.attribute.Remove-R21-40-weka.filters.unsupervised.attribute.Remove-R29

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
8,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,21,3,-1,-1,145,3,7505,East,West
6,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,19,1,-1,-1,145,2,7503,West,East
7,17,1,1,0,0,4,0,1,1,0,0,1,3,5,17,5,1,7,1,20,2,-1,-1,145,3,7502,East,West
5,17,1,1,0,0,4,0,1,0,0,0,1,3,5,17,5,1,7,1,18,-1,-1,-1,145,1,7700,West,East
11,17,1,0,0,1,4,0,1,0,0,0,1,3,3,1,5,1,7,1,24,-1,-1,-1,145,4,7694,East,South
11,11,1,1,1,0,4,0,1,0,0,0,1,3,3,1,5,1,7,1,18,-1,-1,-1,145,1,7688,South,West
8,11,0,1,0,1,4,0,1,0,0,0,1,3,3,1,5,1,7,1,15,-1,-1,-1,142,1,7985,West,South
8,3,1,1,1,0,4,0,1,0,0,0,1,3,3,1,5,1,7,1,7,-1,-1,-1,134,1,8777,South,West
14,10,1,1,0,1,4,0,1,1,1,1,5,6,5,12,13,6,13,12,13,11,5,3,0,-1,-4,East,South
14,6,1,1,1,1,4,0,1,1,1,1,5,6,5,12,13,6,13,12,9,15,1,7,0,-1,-8,South,West
11,6,1,1,0,1,4,0,1,1,0,1,5,6,5,12,5,1,13,12,6,12,-1,8,0,-1,189,West,South
11,3,1,1,1,0,4,0,1,1,0,1,5,6,5,12,5,1,13,12,9,15,-1,11,0,-1,186,South,West
8,3,1,1,1,0,4,0,1,1,0,1,5,6,5,12,5,1,13,12,6,12,-1,14,0,-1,183,West,North
8,5,1,0,1,1,4,0,1,1,0,1,5,6,5,12,5,1,13,12,4,10,-1,12,0,-1,181,North,West
6,5,1,1,1,1,4,0,1,1,0,1,5,6,5,12,5,1,13,12,2,8,-1,14,0,-1,179,West,North
6,6,1,1,0,1,4,0,1,1,0,1,5,6,5,12,5,1,13,12,1,7,-1,13,0,-1,178,North,West
4,6,1,1,1,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,7,-1,15,0,-1,376,West,North
4,10,1,1,0,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,3,-1,11,0,-1,372,North,West
3,10,1,1,1,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,4,-1,12,0,-1,371,West,North
3,14,1,1,0,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,4,-1,12,0,-1,367,North,East
8,14,1,1,0,1,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,5,-1,7,0,-1,362,East,South
8,12,1,1,1,0,4,0,0,1,0,1,1,1,5,12,5,1,13,12,-1,3,-1,5,0,-1,360,South,West
5,12,0,1,0,0,4,0,0,0,0,1,1,1,5,12,5,1,13,12,-1,-1,-1,8,0,-1,557,West,East
8,1,1,1,1,0,4,0,1,1,1,1,8,5,10,5,11,5,17,7,4,6,7,15,67,1,95,West,North
8,3,0,1,0,1,4,0,1,1,1,1,8,5,10,5,11,5,17,7,2,4,5,13,67,2,93,North,East
9,3,1,1,1,0,4,0,1,1,1,1,8,5,10,5,11,5,17,7,3,3,4,12,67,3,92,East,North
9,5,1,1,1,1,4,0,1,1,1,1,8,5,10,5,11,5,17,7,1,1,2,10,67,1,90,North,West
7,5,1,1,0,0,4,0,0,1,1,1,1,1,10,5,11,5,17,7,-1,3,4,12,67,1,288,West,East
11,5,1,0,0,0,4,0,0,0,0,1,1,1,3,1,11,5,17,7,-1,-1,-1,8,67,2,684,East,West
10,5,1,1,1,0,4,0,0,0,0,1,1,1,3,1,5,1,17,7,-1,-1,-1,9,67,1,683,West,North
10,7,1,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,17,7,-1,-1,-1,7,65,1,881,North,East
13,7,1,0,0,1,4,0,0,0,0,1,1,1,3,1,5,1,17,7,-1,-1,-1,4,62,1,1178,East,South
13,5,0,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,17,7,-1,-1,-1,6,60,1,1376,South,East
15,5,1,1,1,0,4,0,0,0,0,1,1,1,3,1,5,1,17,7,-1,-1,-1,4,58,1,1574,East,North
15,7,0,1,0,1,4,0,0,0,0,1,1,1,3,1,5,1,17,7,-1,-1,-1,2,56,1,1772,North,East
13,10,1,1,1,1,4,0,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,1,6,-3,East,North
13,12,1,1,1,1,4,0,1,1,1,0,5,6,5,12,13,6,13,12,14,8,6,-1,1,8,195,North,West
5,12,1,1,1,1,4,0,1,0,1,0,5,6,5,12,13,6,7,1,6,-1,14,-1,1,16,387,West,South
5,11,1,1,1,0,4,0,1,0,1,0,5,6,3,1,13,6,7,1,5,-1,13,-1,1,15,386,South,East
6,11,1,1,1,1,4,0,1,0,1,0,5,6,3,1,13,6,7,1,6,-1,12,-1,1,14,385,East,South
6,5,1,1,1,1,4,0,1,0,1,0,5,6,3,1,13,6,7,1,2,-1,8,-1,1,16,379,South,East
8,5,1,1,1,1,4,0,1,0,1,0,5,6,3,1,13,6,7,1,4,-1,6,-1,1,14,377,East,North
8,6,1,1,1,1,4,0,1,0,1,0,5,6,3,1,13,6,7,1,3,-1,5,-1,1,13,376,North,West
5,6,1,1,1,1,4,0,0,0,1,0,5,6,3,1,13,6,7,1,-1,-1,8,-1,1,16,573,West,East
1,5,0,1,1,1,4,0,1,1,1,1,4,5,9,3,15,4,23,13,3,10,15,30,0,-1,-16,South,East
3,5,1,1,1,1,4,0,1,1,1,1,4,5,7,3,16,3,22,14,1,6,15,28,0,-1,-18,East,North
3,6,1,1,1,1,4,0,1,1,1,1,5,5,7,3,16,3,22,14,3,7,16,27,0,-1,-19,North,East
4,6,1,1,1,1,4,0,1,1,1,1,4,5,8,3,15,3,22,13,1,7,14,25,0,-1,-20,East,South
4,3,1,1,1,0,4,0,0,1,1,1,1,1,9,3,15,3,22,14,-1,5,11,29,0,-1,177,South,East
10,3,1,1,1,0,4,0,0,1,1,1,1,1,9,4,14,3,23,16,-1,2,4,26,0,-1,171,East,North
10,12,1,1,1,1,4,0,0,0,1,1,1,1,3,1,17,4,22,16,-1,-1,15,16,0,-1,362,North,East
13,12,1,1,0,1,4,0,0,0,1,1,1,1,3,1,18,4,21,16,-1,-1,13,12,0,-1,359,East,South
13,6,0,1,1,1,4,0,0,0,1,1,1,1,3,1,19,6,21,15,-1,-1,6,17,0,-1,353,South,East
17,6,1,1,0,1,4,0,0,0,1,1,1,1,3,1,18,3,20,15,-1,-1,4,12,0,-1,349,East,South
17,4,1,1,1,1,4,0,0,0,1,1,1,1,3,1,17,3,21,15,-1,-1,1,15,0,-1,347,South,West
15,4,1,1,0,1,4,0,0,0,1,1,1,1,3,1,15,3,20,15,-1,-1,1,16,0,-1,345,West,South
15,3,1,1,1,0,4,0,0,0,1,1,1,1,3,1,16,3,21,15,-1,-1,1,18,0,-1,344,South,West
14,3,1,1,1,0,4,0,0,0,1,1,1,1,3,1,16,4,20,15,-1,-1,3,18,0,-1,343,West,East
16,3,1,1,1,0,4,0,0,0,1,1,1,1,3,1,14,4,20,14,-1,-1,3,15,0,-1,341,East,North
16,4,1,1,0,1,4,0,0,0,1,1,1,1,3,1,14,4,20,15,-1,-1,2,15,0,-1,340,North,West
